id,text_original,author_display_name,author_channel_id,like_count,published_at,updated_at,total_reply_count,is_public
UgyMmbbETyXaTqhlvDl4AaABAg,Can you change the voice settings of your AI instructor? Like from angry short-fused man who yells at you for every mistake made to obnoxious woman who meticulously criticize your every move?,064678543,UC5HdtkYyKrCSKqG5xp765AQ,0,2021-04-14T18:12:18Z,2021-04-14T18:12:18Z,0,True
UgyeAaFzw9TlhvOmfQ54AaABAg,Cool cool cool but who's gonna pull the emergency brakes before crashing into something,Pikapi,UCHkLQeFo0hQjUFhVKjQBcTg,0,2021-04-14T17:27:44Z,2021-04-14T17:27:44Z,1,True
UgxPBv2Mr5r69dmCoh14AaABAg,"Hahaha an AI instructor. Honestly, it’s probably a much better choice than a dumb human. When I took my driver’s test to get my license, my instructor was some nerd listening to a star wars podcast. He was way more into that podcast than actually doing his job. Working at the dmv seems like a hellhole. Would lose my mind within a week.",Lester Bronson,UClWnSgHyM0fvzJAB05xPFaQ,0,2021-04-14T16:15:34Z,2021-04-14T16:15:34Z,0,True
UgxHejzXUeF-XU6l6kF4AaABAg,AI it self hasn't yet learnt how to drive safely 🤦🏾‍♀️,Nyasha Chifamba,UC8K8453FCiDPk17zLc6-WSA,0,2021-04-14T15:35:15Z,2021-04-14T15:35:15Z,2,True
UgzA42a9AcwCuUBtG3J4AaABAg,Nice,Romel Kulkarni,UC06_tkzuDrHrsUWZZ-5NsMg,0,2021-04-14T15:09:14Z,2021-04-14T15:09:14Z,0,True
Ugw68LU6XpsrjE9fSI14AaABAg,"No matter how many sins you commit, don't stop praying from time to time. Sooner or later, your prayers will be able to change you and become a savior!
SURE!",Adik Axl,UCgT_oQx4kLlHC-ebesHKFbw,0,2021-04-14T14:46:04Z,2021-04-14T14:46:04Z,0,True
Ugzd5mZOxubu0T8jeTx4AaABAg,"Today ""robot"" teach human to drive, in the next few years, ""robot"" drive for human. That ""robot"" instructor loose it's job...",药含,UCFI1mLZxPkyl8Fx-2cJUZQQ,1,2021-04-14T14:45:19Z,2021-04-14T14:45:19Z,0,True
UgxHpMjuxDguTtmjJ2Z4AaABAg,Chinese propaganda vedio!,East South,UCwF-RlnZPeBZyKublYbCFuA,0,2021-04-14T14:41:50Z,2021-04-14T14:41:50Z,3,True
UgzVbTm630fokrbCYGZ4AaABAg,"I passed my drivers exam on the third try.
The first time I was too nervous 
The second time I did everything perfectly but ended up failing because we had to drive through a hurricane Irene clean up zone on the way back to the beginning of the exam. She told me that I should have honked at the maintenance guys to get their attention before driving passed them. Honestly, I think that Exam instructor just didn't like me.",Toon Link,UCUICQeEBy3iiv-XcDPYJ5Pg,6,2021-04-14T14:34:39Z,2021-04-14T14:36:26Z,1,True
UgwvnjiH1lxq0uk4l9R4AaABAg,AI can't never replace human instructors,TmD_10,UCISO9Ar9k6aa8mCMT6qOnkQ,1,2021-04-14T14:33:08Z,2021-04-14T14:33:08Z,2,True
UgzXkK1z-PxlEwnTJ_x4AaABAg,"My uncle teach me to drive my father's car when I was 12 without my father know it. That's one of the craziest experience that I ever have: learning to accelerate & decelerate for a few minutes in an empty field, then drive through the crowded town.",药含,UCFI1mLZxPkyl8Fx-2cJUZQQ,0,2021-04-14T14:28:38Z,2021-04-14T14:28:38Z,0,True
Ugz9d0CeY325KADfo754AaABAg,"It takes , ""Just like the simulation"" to a while new level 😂",Muhammad JUBAER HASAN,UCgbBQ8uWpE4TuTwy4Z9xTSg,0,2021-04-14T14:25:07Z,2021-04-14T14:25:07Z,0,True
UgxING6SoeQ3Y07RGQl4AaABAg,"Too bad they don't teach common sense which many Chinese drivers lack, I've seen so many completely avoidable accidents",azera55555,UCbt1hiBueO8xoc1yzW5bDLA,0,2021-04-14T14:22:33Z,2021-04-14T14:22:33Z,0,True
